Industry,FileType,ScoreBand,AnchorTSFactor,BankBalanceEODFactor,HighestAmountBorrowedFactor,PBTFactor,LoanCap,EligibleForOD,MaxTenor
DTDC,Thin,1,1.5,1.25,5,NA,1500000,NA,NA
DTDC,Thin,2,1.25,1,5,NA,1200000,NA,NA
DTDC,Thin,3,1,0.9,4,NA,1000000,NA,NA
DTDC,Thin,4,0.8,0.8,3,NA,700000,NA,NA
DTDC,Thin,5,0.7,0.8,3,NA,500000,NA,NA
DTDC,Thin,6,0.6,0.7,2,NA,300000,NA,NA
DTDC,Thin,7,0.5,0.7,1,NA,200000,NA,NA
DTDC,Thin,8,0.5,0.7,1,NA,200000,NA,NA
DTDC,Thin,9,NA,NA,NA,NA,NA,NA,NA
DTDC,Thin,10,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,1,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,2,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,3,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,4,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,5,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,6,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,7,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,8,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,9,NA,NA,NA,NA,NA,NA,NA
DTDC,No Hit,10,NA,NA,NA,NA,NA,NA,NA
Firstcry,Thick,1,3,1.25,7,NA,5000000,NA,NA
Firstcry,Thick,2,2.5,1,6,NA,4000000,NA,NA
Firstcry,Thick,3,2.5,0.9,5,NA,3000000,NA,NA
Firstcry,Thick,4,2,0.8,4,NA,2000000,NA,NA
Firstcry,Thick,5,1.5,0.8,3,NA,1500000,NA,NA
Firstcry,Thick,6,1,0.7,2,NA,700000,NA,NA
Firstcry,Thick,7,0.8,0.7,2,NA,500000,NA,NA
Firstcry,Thick,8,NA,NA,NA,NA,NA,NA,NA
Firstcry,Thick,9,NA,NA,NA,NA,NA,NA,NA
Firstcry,Thick,10,NA,NA,NA,NA,NA,NA,NA
Firstcry,Thin,1,3,1.25,5,NA,1500000,NA,NA
Firstcry,Thin,2,2.5,1,5,NA,1200000,NA,NA
Firstcry,Thin,3,2,0.9,4,NA,1000000,NA,NA
Firstcry,Thin,4,1.5,0.8,3,NA,700000,NA,NA
Firstcry,Thin,5,1.5,0.8,3,NA,500000,NA,NA
Firstcry,Thin,6,1,0.7,2,NA,300000,NA,NA
Firstcry,Thin,7,0.8,0.7,1,NA,200000,NA,NA
Firstcry,Thin,8,0.8,0.7,1,NA,200000,NA,NA
Firstcry,Thin,9,NA,NA,NA,NA,NA,NA,NA
Firstcry,Thin,10,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,1,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,2,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,3,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,4,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,5,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,6,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,7,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,8,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,9,NA,NA,NA,NA,NA,NA,NA
Firstcry,No Hit,10,NA,NA,NA,NA,NA,NA,NA
Yatra,Thick,1,2,1.25,7,NA,5000000,Yes,NA
Yatra,Thick,2,1.5,1,6,NA,4000000,Yes,NA
