BusinessNature,Industry,SubIndustry,Margin
service,hr and medical transcription,,0.15
service,industrial services,,0.1
service,internet services,,0.05
service,it consulting,,0.15
service,ites/ call centers,,0.15
service,labour contractor,,0.15
service,legal services (solicitor firms),,0.15
service,"motion picture production, distribution and exhibition",,0.15
service,networking,,0.15
service,passenger transport services (road),,0.15
service,professional,"doctor , engineer , ca",0.25
service,professional,,0.25
service,public relations,,0.15
service,publishing,,0.15
service,recreation & amusement parks,,0.1
service,schools & colleges,,0.15
service,security & housekeeping,,0.15
service,services,automatic merchandising machine operators,0.1
service,services,,0.1
service,storage & warehousing,,0.15
service,technical consultancy and engineering services,,0.15
service,transportation & logistics,,0.05
service,travel services,,0.15
service,turnkey services,,0.1
manufacturer,,,0.07
retail,,,0.1
service,,,0.15
trading,,,0.05
