Pincodes,location_risk_weight,location_band,District/City, GEO_Portfolio_PL_Index 
577139,20,10,Chickmagalur,2.494796978
577144,15,9,Chickmagalur,2.114086727
577146,15,9,Chickmagalur,1.733565682
577168,15,9,Chickmagalur,1.879621994
577175,7,6,Chickmagalur,0.934562187
577201,20,10,Shimoga,2.466746272
577202,8,7,Shimoga,1.116050901
577203,20,10,Shimoga,3.669044773
577204,10,8,Shimoga,1.442962387
577205,20,10,Shimoga,2.379592682
577211,20,10,Shimoga,4.203262549
577213,20,10,Davangere,2.311355634
577214,8,7,Shimoga,0.994042453
577216,6,4,Shimoga,0.82635247
577217,20,10,Davangere,2.943562713
577221,20,10,Davangere,2.887914014
577222,20,10,Shimoga,2.960763042
577223,20,10,Davangere,2.310084304
577225,15,9,Davangere,2.075968582
577227,15,9,Shimoga,1.797573351
577228,20,10,Chickmagalur,2.516174399
577230,15,9,Davangere,1.907142235
577233,20,10,Shimoga,5.266154898
577243,8,7,Shimoga,1.043894186
577245,20,10,Shimoga,6.732094227
577301,20,10,Shimoga,3.592373387
577302,20,10,Shimoga,2.8353339
577303,2,1,Shimoga,0.022758501
577401,20,10,Shimoga,3.568277685
577412,20,10,Shimoga,2.73166169
577414,20,10,Shimoga,8.285194139
577418,20,10,Shimoga,3.778481664
577421,8,7,Shimoga,1.003707591
577426,8,7,Shimoga,1.004079279
577427,20,10,Shimoga,3.85980057
577428,15,9,Shimoga,1.782201441
577429,20,10,Shimoga,2.473130681
577432,20,10,Shimoga,2.912406137
577435,15,9,Shimoga,1.91307153
577501,20,10,Chitradurga,3.28358127
577502,10,8,Chitradurga,1.346225458
577511,15,9,Chitradurga,1.79442838
577516,10,8,Davangere,1.260161415
577517,20,10,Chitradurga,2.62290686
577519,20,10,Chitradurga,3.431152635
577520,6,4,Chitradurga,0.705479441
577522,20,10,Chitradurga,2.754378103
577525,20,10,Davangere,3.731165579
577526,20,10,Chitradurga,2.398343788
577527,20,10,Chitradurga,2.391136165
577528,20,10,Davangere,3.018277286
577530,8,7,Davangere,1.05492162
577534,15,9,Davangere,2.005036034
577535,20,10,Chitradurga,3.528117022
577536,10,8,Chitradurga,1.433485265
577539,10,8,Chitradurga,1.437465014
577540,20,10,Chitradurga,4.780412512
