BusinessNature,Industry,SubIndustry,Margin
service,containers & packaging,packaging,0.15
service,storage & warehousing,,0.15
service,courier,,0.15
service,computers(hardware) & electronics,,0.15
service,erp,,0.15
service,it consulting,,0.15
service,networking,,0.13
service,computer - software,,0.15
service,engineering,,0.15
service,hr and medical transcription,,0.15
service,schools & colleges,,0.15
service,education consulting,,0.2
service,public relations,,0.15
service,labour contractor,,0.15
service,equipment contractor,,0.15
service,security & housekeeping,,0.15
service,broadcasting,,0.15
service,coaching classes,,0.2
service,"motion picture production, distribution and exhibition",,0.2
service,technical consultancy and engineering services,,0.2
service,travel services,,0.15
service,entertainment and media content provider,,0.2
service,executive search,,0.2
service,ites/ call centers,,0.2
service,publishing,,0.2
service,construction equipment(cranes etc),,0.2
service,diagnostic centers,,0.2
service,hotels & restaurants,,0.15
service,legal services (solicitor firms),,0.25
service,communication services,,0.2
service,passenger transport services (road),,0.2
service,professional,"doctor , engineer , ca",0.2
service,consultants,,0.2
service,containers & packaging,,0.15
service,professional,,0.2
service,services,,0.1
manufacturer,,,0.07
retail,,,0.1
service,,,0.15
trading,,,0.05
