pincode,city,state,Tier,ExtraPricing
813102,Patna,Bihar,Tier3,2
813103,Banka,Bihar,Tier4,2
813104,Banka,Bihar,Tier4,2
813105,Banka,Bihar,Tier4,2
813106,Banka,Bihar,Tier4,2
813107,Banka,Bihar,Tier4,2
813108,Bhagalpur,Bihar,Tier4,2
813109,Banka,Bihar,Tier4,2
813110,Banka,Bihar,Tier4,2
813112,Bhagalpur,Bihar,Tier4,2
813113,Bhagalpur,Bihar,Tier4,2
813115,Banka,Bihar,Tier4,2
813116,Banka,Bihar,Tier4,2
813117,Banka,Bihar,Tier4,2
813118,Banka,Bihar,Tier4,2
813119,Banka,Bihar,Tier4,2
813121,Banka,Bihar,Tier4,2
813123,Banka,Bihar,Tier4,2
813124,Banka,Bihar,Tier4,2
813125,Banka,Bihar,Tier4,2
813126,Banka,Bihar,Tier4,2
813127,Banka,Bihar,Tier4,2
813128,Banka,Bihar,Tier4,2
813129,Bhagalpur,Bihar,Tier4,2
813201,Banka,Bihar,Tier4,2
813202,Banka,Bihar,Tier4,2
813203,Bhagalpur,Bihar,Tier4,2
813204,Bhagalpur,Bihar,Tier4,2
813205,Banka,Bihar,Tier4,2
813206,Bhagalpur,Bihar,Tier4,2
813207,Banka,Bihar,Tier4,2
813208,Godda,Jharkhand,Tier4,2
813209,Bhagalpur,Bihar,Tier4,2
813210,Bhagalpur,Bihar,Tier4,2
813211,Banka,Bihar,Tier4,2
813212,Banka,Bihar,Tier4,2
813213,Bhagalpur,Bihar,Tier4,2
813214,Bhagalpur,Bihar,Tier4,2
813222,Bhagalpur,Bihar,Tier4,2
813223,Bhagalpur,Bihar,Tier4,2
813224,Banka,Bihar,Tier4,2
813225,Bhagalpur,Bihar,Tier4,2
813227,Bhagalpur,Bihar,Tier4,2
813228,Bhagalpur,Bihar,Tier4,2
813231,Bhagalpur,Bihar,Tier4,2
813233,Bhagalpur,Bihar,Tier4,2
813321,Banka,Bihar,Tier4,2
814101,Dumka,Jharkhand,Tier4,2
814102,Dumka,Jharkhand,Tier4,2
814103,Dumka,Jharkhand,Tier4,2
814110,Dumka,Jharkhand,Tier4,2
814111,Pakur,Jharkhand,Tier4,2
814112,Deoghar,Jharkhand,Tier4,2
814113,Deoghar,Jharkhand,Tier4,2
814114,Deoghar,Jharkhand,Tier4,2
814115,Deoghar,Jharkhand,Tier4,2
814116,Deoghar,Jharkhand,Tier4,2
814118,Dumka,Jharkhand,Tier4,2
814119,Dumka,Jharkhand,Tier4,2
814120,Deoghar,Jharkhand,Tier4,2
814122,Deoghar,Jharkhand,Tier4,2
814131,Banka,Bihar,Tier4,2
814133,Godda,Jharkhand,Tier4,2
814141,Dumka,Jharkhand,Tier4,2
814142,Munger,Bihar,Tier4,2
814143,Deoghar,Jharkhand,Tier4,2
814144,Dumka,Jharkhand,Tier4,2
814145,Dumka,Jharkhand,Tier4,2
814146,Deoghar,Jharkhand,Tier4,2
814147,Deoghar,Jharkhand,Tier4,2
814148,Munger,Bihar,Tier4,2
814149,Deoghar,Jharkhand,Tier4,2
814150,Deoghar,Jharkhand,Tier4,2
814151,Dumka,Jharkhand,Tier4,2
814152,Deoghar,Jharkhand,Tier4,2
814153,Deoghar,Jharkhand,Tier4,2
814154,Godda,Jharkhand,Tier4,2
814155,Godda,Jharkhand,Tier4,2
814156,Godda,Jharkhand,Tier4,2
814157,Deoghar,Jharkhand,Tier4,2
814158,Dumka,Jharkhand,Tier4,2
814160,Godda,Jharkhand,Tier4,2
814165,Godda,Jharkhand,Tier4,2
814166,Dumka,Jharkhand,Tier4,2
814167,Dumka,Jharkhand,Tier4,2
815301,Giridih,Jharkhand,Tier4,2
815302,Giridih,Jharkhand,Tier4,2
815311,Giridih,Jharkhand,Tier4,2
815312,Giridih,Jharkhand,Tier4,2
815313,Giridih,Jharkhand,Tier4,2
815314,Giridih,Jharkhand,Tier4,2
815315,Giridih,Jharkhand,Tier4,2
815316,Giridih,Jharkhand,Tier4,2
815317,Giridih,Jharkhand,Tier4,2
815318,Giridih,Jharkhand,Tier4,2
815351,Jamtara,Jharkhand,Tier4,2
815352,Deoghar,Jharkhand,Tier4,2
815353,Deoghar,Jharkhand,Tier4,2
815354,Jamtara,Jharkhand,Tier4,2
815355,Jamtara,Jharkhand,Tier4,2
815357,Deoghar,Jharkhand,Tier4,2
815359,Jamtara,Jharkhand,Tier4,2
816101,Sahibganj,Jharkhand,Tier4,2
816102,Godda,Jharkhand,Tier4,2
816103,Dumka,Jharkhand,Tier4,2
816104,Pakur,Jharkhand,Tier4,2
816105,Pakur,Jharkhand,Tier4,2
816106,Pakur,Jharkhand,Tier4,2
816107,Dumka,Jharkhand,Tier4,2
816108,Sahibganj,Jharkhand,Tier4,2
816109,Sahibganj,Jharkhand,Tier4,2
816110,Sahibganj,Jharkhand,Tier4,2
816115,Sahibganj,Jharkhand,Tier4,2
816116,Dumka,Jharkhand,Tier4,2
816117,Dumka,Jharkhand,Tier4,2
816118,Dumka,Jharkhand,Tier4,2
816120,Sahibganj,Jharkhand,Tier4,2
816129,Sahibganj,Jharkhand,Tier4,2
821101,Kaimur(Bhabua),Bihar,Tier4,2
821102,Kaimur(Bhabua),Bihar,Tier4,2
821103,Kaimur(Bhabua),Bihar,Tier4,2
821104,Kaimur(Bhabua),Bihar,Tier4,2
821105,Kaimur(Bhabua),Bihar,Tier4,2
821106,Kaimur(Bhabua),Bihar,Tier4,2
821107,Rohtas,Bihar,Tier4,2
821108,Kaimur(Bhabua),Bihar,Tier4,2
821109,Kaimur(Bhabua),Bihar,Tier4,2
821110,Kaimur(Bhabua),Bihar,Tier4,2
821111,Rohtas,Bihar,Tier4,2
821112,Rohtas,Bihar,Tier4,2
821113,Rohtas,Bihar,Tier4,2
821115,Sasaram,Bihar,Tier4,2
821301,Rohtas,Bihar,Tier4,2
821302,Rohtas,Bihar,Tier4,2
821303,Rohtas,Bihar,Tier4,2
821304,Rohtas,Bihar,Tier4,2
821305,Munger,Bihar,Tier4,2
821306,Rohtas,Bihar,Tier4,2
821307,Rohtas,Bihar,Tier4,2
821308,Rohtas,Bihar,Tier4,2
821309,Rohtas,Bihar,Tier4,2
821310,Rohtas,Bihar,Tier4,2
821311,Rohtas,Bihar,Tier4,2
821312,Rohtas,Bihar,Tier4,2
822101,Daltonganj,Jharkhand,Tier4,2
822102,Palamau,Jharkhand,Tier4,2
822110,Palamau,Jharkhand,Tier4,2
822111,Latehar,Jharkhand,Tier4,2
822112,Garhwa,Jharkhand,Tier4,2
822113,Palamau,Jharkhand,Tier4,2
822114,Garhwa,Jharkhand,Tier4,2
822115,Palamau,Jharkhand,Tier4,2
822116,Palamau,Jharkhand,Tier4,2
822117,Palamau,Jharkhand,Tier4,2
822118,Garhwa,Jharkhand,Tier4,2
822119,Latehar,Jharkhand,Tier4,2
822120,Palamau,Jharkhand,Tier4,2
822121,Palamau,Jharkhand,Tier4,2
822122,Palamau,Jharkhand,Tier4,2
822123,Palamau,Jharkhand,Tier4,2
822124,Garhwa,Jharkhand,Tier4,2
822125,Garhwa,Jharkhand,Tier4,2
822126,Palamau,Jharkhand,Tier4,2
822127,Latehar,Jharkhand,Tier4,2
822128,Garhwa,Jharkhand,Tier4,2
822129,Garhwa,Jharkhand,Tier4,2
822131,Palamau,Jharkhand,Tier4,2
822132,Palamau,Jharkhand,Tier4,2
822133,Garhwa,Jharkhand,Tier4,2
823001,Gaya,Bihar,Tier4,2
823002,Gaya,Bihar,Tier4,2
823003,Gaya,Bihar,Tier4,2
823004,Gaya,Bihar,Tier4,2
823005,Gaya,Bihar,Tier4,2
823311,Gaya,Bihar,Tier4,2
824101,Patna,Bihar,Tier3,2
824102,Aurangabad(BH),Bihar,Tier2,2
824103,Aurangabad(BH),Bihar,Tier2,2
824111,Aurangabad(BH),Bihar,Tier2,2
824112,Aurangabad(BH),Bihar,Tier2,2
824113,Aurangabad(BH),Bihar,Tier2,2
824114,Aurangabad(BH),Bihar,Tier2,2
824115,Arwal,Bihar,Tier4,2
824116,Aurangabad(BH),Bihar,Tier2,2
824118,Gaya,Bihar,Tier4,2
824120,Aurangabad(BH),Bihar,Tier2,2
824121,Aurangabad(BH),Bihar,Tier2,2
824122,Aurangabad(BH),Bihar,Tier2,2
824123,Aurangabad(BH),Bihar,Tier2,2
824124,Aurangabad(BH),Bihar,Tier2,2
824125,Aurangabad(BH),Bihar,Tier2,2
824127,Arwal,Bihar,Tier4,2
824129,Aurangabad(BH),Bihar,Tier2,2
824130,Aurangabad(BH),Bihar,Tier2,2
824143,Aurangabad(BH),Bihar,Tier2,2
824201,Gaya,Bihar,Tier4,2
824202,Aurangabad(BH),Bihar,Tier2,2
824203,Aurangabad(BH),Bihar,Tier2,2
824205,Gaya,Bihar,Tier4,2
824206,Gaya,Bihar,Tier4,2
824207,Aurangabad(BH),Bihar,Tier2,2
824208,Aurangabad(BH),Bihar,Tier2,2
824209,Gaya,Bihar,Tier4,2
824210,Gaya,Bihar,Tier4,2
824211,Gaya,Bihar,Tier4,2
